Column,Type
Idx,Index
UserInfo_1,Categorical
UserInfo_2,Categorical
UserInfo_3,Categorical
UserInfo_4,Categorical
WeblogInfo_1,Numerical
WeblogInfo_2,Numerical
WeblogInfo_3,Numerical
WeblogInfo_4,Numerical
WeblogInfo_5,Numerical
WeblogInfo_6,Numerical
WeblogInfo_7,Numerical
WeblogInfo_8,Numerical
WeblogInfo_9,Numerical
WeblogInfo_10,Numerical
WeblogInfo_11,Numerical
WeblogInfo_12,Numerical
WeblogInfo_13,Numerical
WeblogInfo_14,Numerical
WeblogInfo_15,Numerical
WeblogInfo_16,Numerical
WeblogInfo_17,Numerical
WeblogInfo_18,Numerical
UserInfo_5,Categorical
UserInfo_6,Categorical
UserInfo_7,Categorical
UserInfo_8,Categorical
UserInfo_9,Categorical
UserInfo_10,Numerical
UserInfo_11,Categorical
UserInfo_12,Categorical
UserInfo_13,Categorical
UserInfo_14,Numerical
UserInfo_15,Numerical
UserInfo_16,Categorical
UserInfo_17,Categorical
UserInfo_18,Numerical
UserInfo_19,Categorical
UserInfo_20,Categorical
UserInfo_21,Categorical
UserInfo_22,Categorical
UserInfo_23,Categorical
UserInfo_24,Categorical
Education_Info1,Categorical
Education_Info2,Categorical
Education_Info3,Categorical
Education_Info4,Categorical
Education_Info5,Categorical
Education_Info6,Categorical
Education_Info7,Categorical
Education_Info8,Categorical
WeblogInfo_19,Categorical
WeblogInfo_20,Categorical
WeblogInfo_21,Categorical
WeblogInfo_23,Numerical
WeblogInfo_24,Numerical
WeblogInfo_25,Numerical
WeblogInfo_26,Numerical
WeblogInfo_27,Numerical
WeblogInfo_28,Numerical
WeblogInfo_29,Numerical
WeblogInfo_30,Numerical
WeblogInfo_31,Numerical
WeblogInfo_32,Numerical
WeblogInfo_33,Numerical
WeblogInfo_34,Numerical
WeblogInfo_35,Numerical
WeblogInfo_36,Numerical
WeblogInfo_37,Numerical
WeblogInfo_38,Numerical
WeblogInfo_39,Numerical
WeblogInfo_40,Numerical
WeblogInfo_41,Numerical
WeblogInfo_42,Numerical
WeblogInfo_43,Numerical
WeblogInfo_44,Numerical
WeblogInfo_45,Numerical
WeblogInfo_46,Numerical
WeblogInfo_47,Numerical
WeblogInfo_48,Numerical
WeblogInfo_49,Numerical
WeblogInfo_50,Numerical
WeblogInfo_51,Numerical
WeblogInfo_52,Numerical
WeblogInfo_53,Numerical
WeblogInfo_54,Numerical
WeblogInfo_55,Numerical
WeblogInfo_56,Numerical
WeblogInfo_57,Numerical
WeblogInfo_58,Numerical
ThirdParty_Info_Period1_1,Numerical
ThirdParty_Info_Period1_2,Numerical
ThirdParty_Info_Period1_3,Numerical
ThirdParty_Info_Period1_4,Numerical
ThirdParty_Info_Period1_5,Numerical
ThirdParty_Info_Period1_6,Numerical
ThirdParty_Info_Period1_7,Numerical
ThirdParty_Info_Period1_8,Numerical
ThirdParty_Info_Period1_9,Numerical
ThirdParty_Info_Period1_10,Numerical
ThirdParty_Info_Period1_11,Numerical
ThirdParty_Info_Period1_12,Numerical
ThirdParty_Info_Period1_13,Numerical
ThirdParty_Info_Period1_14,Numerical
ThirdParty_Info_Period1_15,Numerical
ThirdParty_Info_Period1_16,Numerical
ThirdParty_Info_Period1_17,Numerical
ThirdParty_Info_Period2_1,Numerical
ThirdParty_Info_Period2_2,Numerical
ThirdParty_Info_Period2_3,Numerical
ThirdParty_Info_Period2_4,Numerical
ThirdParty_Info_Period2_5,Numerical
ThirdParty_Info_Period2_6,Numerical
ThirdParty_Info_Period2_7,Numerical
ThirdParty_Info_Period2_8,Numerical
ThirdParty_Info_Period2_9,Numerical
ThirdParty_Info_Period2_10,Numerical
ThirdParty_Info_Period2_11,Numerical
ThirdParty_Info_Period2_12,Numerical
ThirdParty_Info_Period2_13,Numerical
ThirdParty_Info_Period2_14,Numerical
ThirdParty_Info_Period2_15,Numerical
ThirdParty_Info_Period2_16,Numerical
ThirdParty_Info_Period2_17,Numerical
ThirdParty_Info_Period3_1,Numerical
ThirdParty_Info_Period3_2,Numerical
ThirdParty_Info_Period3_3,Numerical
ThirdParty_Info_Period3_4,Numerical
ThirdParty_Info_Period3_5,Numerical
ThirdParty_Info_Period3_6,Numerical
ThirdParty_Info_Period3_7,Numerical
ThirdParty_Info_Period3_8,Numerical
ThirdParty_Info_Period3_9,Numerical
ThirdParty_Info_Period3_10,Numerical
ThirdParty_Info_Period3_11,Numerical
ThirdParty_Info_Period3_12,Numerical
ThirdParty_Info_Period3_13,Numerical
ThirdParty_Info_Period3_14,Numerical
ThirdParty_Info_Period3_15,Numerical
ThirdParty_Info_Period3_16,Numerical
ThirdParty_Info_Period3_17,Numerical
ThirdParty_Info_Period4_1,Numerical
ThirdParty_Info_Period4_2,Numerical
ThirdParty_Info_Period4_3,Numerical
ThirdParty_Info_Period4_4,Numerical
ThirdParty_Info_Period4_5,Numerical
ThirdParty_Info_Period4_6,Numerical
ThirdParty_Info_Period4_7,Numerical
ThirdParty_Info_Period4_8,Numerical
ThirdParty_Info_Period4_9,Numerical
ThirdParty_Info_Period4_10,Numerical
ThirdParty_Info_Period4_11,Numerical
ThirdParty_Info_Period4_12,Numerical
ThirdParty_Info_Period4_13,Numerical
ThirdParty_Info_Period4_14,Numerical
ThirdParty_Info_Period4_15,Numerical
ThirdParty_Info_Period4_16,Numerical
ThirdParty_Info_Period4_17,Numerical
ThirdParty_Info_Period5_1,Numerical
ThirdParty_Info_Period5_2,Numerical
ThirdParty_Info_Period5_3,Numerical
ThirdParty_Info_Period5_4,Numerical
ThirdParty_Info_Period5_5,Numerical
ThirdParty_Info_Period5_6,Numerical
ThirdParty_Info_Period5_7,Numerical
ThirdParty_Info_Period5_8,Numerical
ThirdParty_Info_Period5_9,Numerical
ThirdParty_Info_Period5_10,Numerical
ThirdParty_Info_Period5_11,Numerical
ThirdParty_Info_Period5_12,Numerical
ThirdParty_Info_Period5_13,Numerical
ThirdParty_Info_Period5_14,Numerical
ThirdParty_Info_Period5_15,Numerical
ThirdParty_Info_Period5_16,Numerical
ThirdParty_Info_Period5_17,Numerical
ThirdParty_Info_Period6_1,Numerical
ThirdParty_Info_Period6_2,Numerical
ThirdParty_Info_Period6_3,Numerical
ThirdParty_Info_Period6_4,Numerical
ThirdParty_Info_Period6_5,Numerical
ThirdParty_Info_Period6_6,Numerical
ThirdParty_Info_Period6_7,Numerical
ThirdParty_Info_Period6_8,Numerical
ThirdParty_Info_Period6_9,Numerical
ThirdParty_Info_Period6_10,Numerical
ThirdParty_Info_Period6_11,Numerical
ThirdParty_Info_Period6_12,Numerical
ThirdParty_Info_Period6_13,Numerical
ThirdParty_Info_Period6_14,Numerical
ThirdParty_Info_Period6_15,Numerical
ThirdParty_Info_Period6_16,Numerical
ThirdParty_Info_Period6_17,Numerical
ThirdParty_Info_Period7_1,Numerical
ThirdParty_Info_Period7_2,Numerical
ThirdParty_Info_Period7_3,Numerical
ThirdParty_Info_Period7_4,Numerical
ThirdParty_Info_Period7_5,Numerical
ThirdParty_Info_Period7_6,Numerical
ThirdParty_Info_Period7_7,Numerical
ThirdParty_Info_Period7_8,Numerical
ThirdParty_Info_Period7_9,Numerical
ThirdParty_Info_Period7_10,Numerical
ThirdParty_Info_Period7_11,Numerical
ThirdParty_Info_Period7_12,Numerical
ThirdParty_Info_Period7_13,Numerical
ThirdParty_Info_Period7_14,Numerical
ThirdParty_Info_Period7_15,Numerical
ThirdParty_Info_Period7_16,Numerical
ThirdParty_Info_Period7_17,Numerical
SocialNetwork_1,Categorical
SocialNetwork_2,Categorical
SocialNetwork_3,Numerical
SocialNetwork_4,Numerical
SocialNetwork_5,Numerical
SocialNetwork_6,Numerical
SocialNetwork_7,Categorical
SocialNetwork_8,Numerical
SocialNetwork_9,Numerical
SocialNetwork_10,Numerical
SocialNetwork_11,Numerical
SocialNetwork_12,Categorical
SocialNetwork_13,Numerical
SocialNetwork_14,Numerical
SocialNetwork_15,Numerical
SocialNetwork_16,Numerical
SocialNetwork_17,Numerical
target,Numerical
ListingInfo,Numerical
